,chr,start,end,SKHEP1_LIVER,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
0,10,100028204,100028508,0.087,7.0,3.0,27.0,11.0,4.0,13.0,15.0,21.0,17.0,17.0,43.0,32.0,20.0,20.0,25.0,28.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,3.0,2.0,5.0,72.0,13.0,7.0,3.0,8.0,7.0
1,10,100227438,100227832,0.019,23.0,11.0,18.0,13.0,3.0,11.0,25.0,27.0,16.0,19.0,48.0,42.0,23.0,25.0,35.0,54.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,3.0,4.0,131.0,21.0,6.0,4.0,7.0,16.0
2,10,100992156,100992687,-1.0,20.0,6.0,46.0,20.0,13.0,18.0,31.0,26.0,33.0,22.0,55.0,63.0,26.0,42.0,42.0,67.0,7.0,0.0,4.0,1.0,6.0,2.0,4.0,4.0,23.0,5.0,133.0,18.0,3.0,12.0,15.0,23.0
3,10,100993820,100994188,0.841,29.0,4.0,26.0,27.0,6.0,10.0,13.0,21.0,27.0,8.0,30.0,41.0,24.0,28.0,38.0,35.0,4.0,0.0,3.0,5.0,0.0,3.0,2.0,7.0,5.0,2.0,6.0,15.0,1.0,11.0,9.0,26.0
4,10,101190451,101190925,0.018,22.0,15.0,39.0,18.0,10.0,21.0,28.0,24.0,38.0,22.0,57.0,48.0,24.0,25.0,42.0,40.0,8.0,2.0,11.0,5.0,1.0,3.0,3.0,0.0,10.0,2.0,80.0,44.0,2.0,5.0,21.0,5.0
5,10,101279941,101280382,-1.0,27.0,13.0,31.0,20.0,15.0,21.0,22.0,20.0,22.0,19.0,51.0,49.0,27.0,25.0,38.0,40.0,8.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,5.0,4.0,49.0,22.0,7.0,6.0,16.0,12.0
6,10,101281181,101282116,0.737,50.0,23.0,70.0,44.0,31.0,47.0,39.0,55.0,45.0,48.0,87.0,94.0,61.0,54.0,79.0,107.0,6.0,8.0,12.0,12.0,17.0,12.0,15.0,11.0,10.0,13.0,70.0,87.0,13.0,16.0,36.0,38.0
7,10,101282725,101282934,0.615,6.0,4.0,14.0,7.0,2.0,4.0,13.0,12.0,13.0,12.0,42.0,19.0,10.0,11.0,18.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,6.0,2.0,26.0,54.0,2.0,3.0,6.0,13.0
8,10,101287162,101287920,0.876,29.0,13.0,61.0,43.0,17.0,38.0,48.0,38.0,57.0,35.0,81.0,72.0,43.0,55.0,56.0,71.0,7.0,4.0,9.0,2.0,6.0,6.0,5.0,10.0,34.0,9.0,213.0,35.0,17.0,15.0,18.0,36.0
9,10,101290025,101290338,0.854,7.0,5.0,25.0,9.0,8.0,7.0,24.0,12.0,17.0,15.0,52.0,39.0,14.0,24.0,23.0,31.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,5.0,28.0,3.0,30.0,15.0,5.0,6.0,7.0,16.0
10,10,101290625,101291178,0.796,15.0,10.0,26.0,37.0,9.0,21.0,30.0,41.0,19.0,24.0,44.0,54.0,45.0,46.0,42.0,89.0,1.0,2.0,3.0,18.0,0.0,11.0,9.0,9.0,11.0,9.0,29.0,33.0,20.0,18.0,32.0,31.0
11,10,101292436,101292851,0.757,17.0,11.0,39.0,18.0,10.0,9.0,19.0,22.0,29.0,18.0,43.0,41.0,29.0,22.0,31.0,56.0,5.0,1.0,4.0,5.0,2.0,0.0,6.0,14.0,7.0,7.0,48.0,32.0,19.0,1.0,7.0,17.0
12,10,101293015,101293238,0.773,8.0,7.0,22.0,13.0,3.0,7.0,14.0,9.0,26.0,8.0,27.0,19.0,13.0,11.0,18.0,17.0,0.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,9.0,0.0,6.0,16.0,1.0,1.0,11.0,6.0
13,10,101297438,101297703,-1.0,10.0,4.0,21.0,17.0,3.0,7.0,12.0,16.0,22.0,6.0,19.0,25.0,17.0,21.0,21.0,43.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,6.0,3.0,0.0,9.0,25.0,1.0,10.0,4.0,14.0
14,10,101299997,101300859,0.149,28.0,9.0,74.0,33.0,9.0,25.0,40.0,50.0,62.0,41.0,149.0,83.0,45.0,49.0,73.0,91.0,2.0,1.0,8.0,1.0,0.0,2.0,2.0,8.0,19.0,9.0,180.0,36.0,3.0,11.0,17.0,23.0
15,10,101418868,101419589,0.0,16.0,7.0,57.0,33.0,6.0,19.0,40.0,36.0,61.0,32.0,107.0,74.0,30.0,43.0,71.0,88.0,0.0,0.0,15.0,7.0,2.0,2.0,5.0,7.0,22.0,7.0,130.0,42.0,6.0,12.0,25.0,16.0
16,10,101491680,101492232,0.001,29.0,7.0,41.0,23.0,8.0,11.0,29.0,30.0,38.0,21.0,77.0,69.0,25.0,39.0,59.0,45.0,4.0,0.0,19.0,3.0,1.0,11.0,3.0,5.0,5.0,4.0,72.0,23.0,10.0,8.0,11.0,9.0
17,10,101945571,101945907,0.002,14.0,4.0,22.0,17.0,4.0,2.0,12.0,16.0,19.0,8.0,29.0,49.0,20.0,20.0,43.0,56.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,1.0,29.0,26.0,5.0,4.0,13.0,14.0
18,10,1021641,1022509,0.959,50.0,26.0,78.0,30.0,78.0,3.0,90.0,19.0,36.0,118.0,60.0,73.0,20.0,43.0,60.0,83.0,6.0,3.0,10.0,5.0,20.0,0.0,11.0,2.0,325.0,16.0,52.0,23.0,9.0,5.0,22.0,36.0
19,10,101989127,101989533,0.0,18.0,8.0,22.0,17.0,8.0,16.0,14.0,29.0,16.0,16.0,38.0,46.0,23.0,27.0,43.0,64.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,18.0,8.0,5.0,5.0,24.0,35.0
20,10,102027099,102027490,0.007,32.0,12.0,29.0,25.0,8.0,14.0,12.0,31.0,26.0,16.0,21.0,30.0,32.0,23.0,32.0,47.0,8.0,1.0,1.0,7.0,2.0,0.0,3.0,13.0,20.0,6.0,5.0,17.0,5.0,14.0,11.0,11.0
21,10,102046142,102046632,0.003,11.0,13.0,24.0,34.0,7.0,9.0,24.0,34.0,19.0,19.0,36.0,54.0,45.0,33.0,45.0,82.0,2.0,5.0,3.0,4.0,1.0,1.0,6.0,6.0,8.0,5.0,16.0,61.0,7.0,8.0,14.0,49.0
22,10,102133021,102133557,0.009,20.0,14.0,34.0,25.0,8.0,32.0,28.0,45.0,30.0,18.0,44.0,48.0,35.0,49.0,35.0,70.0,2.0,3.0,4.0,3.0,1.0,7.0,5.0,6.0,8.0,6.0,14.0,25.0,12.0,8.0,23.0,32.0
23,10,102241980,102242559,0.033,21.0,4.0,38.0,34.0,9.0,7.0,43.0,23.0,28.0,24.0,66.0,86.0,39.0,47.0,58.0,51.0,0.0,0.0,6.0,8.0,4.0,0.0,6.0,2.0,3.0,9.0,48.0,31.0,11.0,21.0,11.0,12.0
24,10,102279162,102279730,0.94,23.0,6.0,48.0,31.0,4.0,3.0,18.0,25.0,41.0,16.0,83.0,74.0,40.0,25.0,66.0,64.0,1.0,2.0,2.0,7.0,0.0,1.0,1.0,6.0,17.0,3.0,29.0,49.0,5.0,2.0,38.0,18.0
25,10,102289150,102289742,0.018,25.0,21.0,37.0,32.0,16.0,29.0,23.0,45.0,32.0,25.0,58.0,49.0,42.0,38.0,47.0,72.0,10.0,8.0,3.0,7.0,3.0,7.0,8.0,8.0,9.0,5.0,67.0,10.0,19.0,12.0,23.0,37.0
26,10,102416496,102416716,0.106,9.0,1.0,13.0,9.0,4.0,6.0,16.0,9.0,11.0,6.0,29.0,27.0,8.0,22.0,16.0,33.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,43.0,12.0,2.0,1.0,3.0,6.0
27,10,102419147,102419668,0.798,27.0,31.0,26.0,14.0,14.0,42.0,40.0,31.0,26.0,23.0,26.0,62.0,31.0,31.0,46.0,50.0,8.0,9.0,3.0,3.0,1.0,6.0,9.0,8.0,25.0,7.0,16.0,34.0,2.0,9.0,28.0,32.0
28,10,102430697,102431119,0.0,13.0,10.0,31.0,15.0,8.0,8.0,17.0,14.0,30.0,11.0,60.0,58.0,18.0,18.0,52.0,58.0,0.0,0.0,3.0,6.0,0.0,2.0,3.0,5.0,3.0,1.0,29.0,20.0,7.0,5.0,8.0,27.0
29,10,102469806,102470341,0.059,18.0,8.0,30.0,21.0,6.0,8.0,29.0,27.0,25.0,17.0,65.0,70.0,28.0,37.0,54.0,91.0,7.0,1.0,11.0,5.0,0.0,0.0,3.0,7.0,5.0,7.0,59.0,21.0,17.0,12.0,16.0,37.0
30,10,102473206,102474026,0.0,25.0,26.0,62.0,30.0,16.0,30.0,43.0,49.0,54.0,25.0,114.0,88.0,48.0,57.0,63.0,89.0,3.0,2.0,3.0,8.0,6.0,8.0,14.0,10.0,13.0,8.0,71.0,42.0,8.0,24.0,18.0,32.0
