,chr,start,end,SW579_THYROID,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
0,10,100028204,100028508,0.083,7.0,3.0,27.0,11.0,4.0,13.0,15.0,21.0,17.0,17.0,43.0,32.0,20.0,20.0,25.0,28.0,0.0,0.0,1.0,2.0,2.0,10.0,4.0,0.0,4.0,4.0,5.0,2.0,10.0,4.0,15.0,6.0
1,10,100227438,100227832,0.1,23.0,11.0,18.0,13.0,3.0,11.0,25.0,27.0,16.0,19.0,48.0,42.0,23.0,25.0,35.0,54.0,10.0,0.0,2.0,1.0,0.0,5.0,4.0,6.0,2.0,6.0,18.0,10.0,2.0,20.0,8.0,16.0
2,10,100992156,100992687,0.185,20.0,6.0,46.0,20.0,13.0,18.0,31.0,26.0,33.0,22.0,55.0,63.0,26.0,42.0,42.0,67.0,7.0,1.0,6.0,5.0,3.0,10.0,19.0,3.0,25.0,6.0,10.0,18.0,13.0,10.0,45.0,15.0
3,10,100993820,100994188,0.306,29.0,4.0,26.0,27.0,6.0,10.0,13.0,21.0,27.0,8.0,30.0,41.0,24.0,28.0,38.0,35.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,8.0,2.0,8.0,14.0,2.0,5.0,7.0,4.0
4,10,101190451,101190925,0.041,22.0,15.0,39.0,18.0,10.0,21.0,28.0,24.0,38.0,22.0,57.0,48.0,24.0,25.0,42.0,40.0,3.0,18.0,3.0,1.0,3.0,0.0,9.0,6.0,8.0,14.0,9.0,16.0,3.0,14.0,19.0,11.0
5,10,101279941,101280382,-1.0,27.0,13.0,31.0,20.0,15.0,21.0,22.0,20.0,22.0,19.0,51.0,49.0,27.0,25.0,38.0,40.0,5.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,13.0,5.0,6.0,8.0,7.0,8.0,17.0,11.0
6,10,101281181,101282116,-1.0,50.0,23.0,70.0,44.0,31.0,47.0,39.0,55.0,45.0,48.0,87.0,94.0,61.0,54.0,79.0,107.0,7.0,5.0,6.0,10.0,13.0,10.0,7.0,10.0,9.0,8.0,26.0,26.0,15.0,16.0,52.0,33.0
7,10,101282725,101282934,0.387,6.0,4.0,14.0,7.0,2.0,4.0,13.0,12.0,13.0,12.0,42.0,19.0,10.0,11.0,18.0,21.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,7.0,2.0,0.0,11.0,4.0
8,10,101287162,101287920,0.758,29.0,13.0,61.0,43.0,17.0,38.0,48.0,38.0,57.0,35.0,81.0,72.0,43.0,55.0,56.0,71.0,2.0,2.0,12.0,7.0,3.0,13.0,9.0,4.0,11.0,15.0,16.0,17.0,23.0,13.0,29.0,8.0
9,10,101290025,101290338,-1.0,7.0,5.0,25.0,9.0,8.0,7.0,24.0,12.0,17.0,15.0,52.0,39.0,14.0,24.0,23.0,31.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,11.0,11.0,10.0,10.0,9.0,12.0,9.0
10,10,101290625,101291178,-1.0,15.0,10.0,26.0,37.0,9.0,21.0,30.0,41.0,19.0,24.0,44.0,54.0,45.0,46.0,42.0,89.0,2.0,1.0,4.0,6.0,4.0,4.0,6.0,7.0,6.0,8.0,14.0,13.0,18.0,13.0,20.0,34.0
