,chr,start,end,U2OS_BONE,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
0,10,100028204,100028508,0.008,7.0,3.0,27.0,11.0,4.0,13.0,15.0,21.0,17.0,17.0,43.0,32.0,20.0,20.0,25.0,28.0,4.0,1.0,5.0,0.0,1.0,9.0,1.0,10.0,3.0,5.0,10.0,10.0,5.0,3.0,12.0,3.0
1,10,100227438,100227832,0.011,23.0,11.0,18.0,13.0,3.0,11.0,25.0,27.0,16.0,19.0,48.0,42.0,23.0,25.0,35.0,54.0,16.0,3.0,2.0,6.0,0.0,3.0,3.0,3.0,3.0,3.0,29.0,18.0,5.0,7.0,9.0,24.0
2,10,100992156,100992687,-1.0,20.0,6.0,46.0,20.0,13.0,18.0,31.0,26.0,33.0,22.0,55.0,63.0,26.0,42.0,42.0,67.0,4.0,0.0,10.0,9.0,14.0,18.0,6.0,4.0,22.0,5.0,15.0,10.0,14.0,19.0,11.0,12.0
3,10,100993820,100994188,0.462,29.0,4.0,26.0,27.0,6.0,10.0,13.0,21.0,27.0,8.0,30.0,41.0,24.0,28.0,38.0,35.0,10.0,1.0,4.0,6.0,1.0,4.0,0.0,4.0,4.0,0.0,2.0,12.0,5.0,9.0,31.0,12.0
4,10,101190451,101190925,0.004,22.0,15.0,39.0,18.0,10.0,21.0,28.0,24.0,38.0,22.0,57.0,48.0,24.0,25.0,42.0,40.0,3.0,1.0,5.0,2.0,10.0,8.0,5.0,6.0,19.0,5.0,15.0,19.0,8.0,17.0,19.0,11.0
5,10,101279941,101280382,-1.0,27.0,13.0,31.0,20.0,15.0,21.0,22.0,20.0,22.0,19.0,51.0,49.0,27.0,25.0,38.0,40.0,11.0,10.0,4.0,3.0,6.0,7.0,4.0,5.0,6.0,4.0,8.0,5.0,11.0,9.0,29.0,18.0
6,10,101281181,101282116,0.781,50.0,23.0,70.0,44.0,31.0,47.0,39.0,55.0,45.0,48.0,87.0,94.0,61.0,54.0,79.0,107.0,12.0,2.0,11.0,9.0,8.0,7.0,2.0,9.0,15.0,8.0,29.0,38.0,13.0,10.0,57.0,30.0
7,10,101282725,101282934,0.671,6.0,4.0,14.0,7.0,2.0,4.0,13.0,12.0,13.0,12.0,42.0,19.0,10.0,11.0,18.0,21.0,0.0,1.0,6.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,7.0,7.0,2.0,1.0,5.0,4.0
8,10,101287162,101287920,0.9,29.0,13.0,61.0,43.0,17.0,38.0,48.0,38.0,57.0,35.0,81.0,72.0,43.0,55.0,56.0,71.0,8.0,2.0,11.0,9.0,13.0,11.0,5.0,17.0,8.0,6.0,25.0,24.0,13.0,14.0,41.0,21.0
9,10,101290025,101290338,0.868,7.0,5.0,25.0,9.0,8.0,7.0,24.0,12.0,17.0,15.0,52.0,39.0,14.0,24.0,23.0,31.0,2.0,0.0,3.0,4.0,10.0,1.0,2.0,1.0,7.0,1.0,21.0,9.0,2.0,5.0,22.0,10.0
10,10,101290625,101291178,0.764,15.0,10.0,26.0,37.0,9.0,21.0,30.0,41.0,19.0,24.0,44.0,54.0,45.0,46.0,42.0,89.0,3.0,7.0,6.0,8.0,3.0,2.0,5.0,11.0,8.0,8.0,13.0,18.0,13.0,8.0,42.0,19.0
11,10,101292436,101292851,0.781,17.0,11.0,39.0,18.0,10.0,9.0,19.0,22.0,29.0,18.0,43.0,41.0,29.0,22.0,31.0,56.0,4.0,7.0,6.0,4.0,1.0,3.0,2.0,4.0,12.0,3.0,7.0,10.0,8.0,24.0,14.0,19.0
